status file for recon-all
Tue Jan  2 15:50:52 UTC 2018
#@# MotionCor Tue Jan  2 15:51:01 UTC 2018
#@# Talairach Tue Jan  2 15:51:18 UTC 2018
#@# Talairach Failure Detection Tue Jan  2 15:54:49 UTC 2018
#@# Nu Intensity Correction Tue Jan  2 15:54:49 UTC 2018
#@# Intensity Normalization Tue Jan  2 15:59:15 UTC 2018
#@# Skull Stripping Tue Jan  2 16:03:31 UTC 2018
#@# EM Registration Tue Jan  2 16:43:08 UTC 2018
#@# CA Normalize Tue Jan  2 17:17:35 UTC 2018
#@# CA Reg Tue Jan  2 17:20:30 UTC 2018
#@# SubCort Seg Tue Jan  2 21:59:51 UTC 2018
#@# Merge ASeg Tue Jan  2 23:57:44 UTC 2018
#@# Intensity Normalization2 Tue Jan  2 23:57:44 UTC 2018
#@# Mask BFS Wed Jan  3 00:03:43 UTC 2018
#@# WM Segmentation Wed Jan  3 00:03:46 UTC 2018
#@# Fill Wed Jan  3 00:07:39 UTC 2018
#@# Tessellate lh Wed Jan  3 00:09:12 UTC 2018
#@# Tessellate rh Wed Jan  3 00:09:25 UTC 2018
#@# Smooth1 lh Wed Jan  3 00:09:40 UTC 2018
#@# Smooth1 rh Wed Jan  3 00:09:52 UTC 2018
#@# Inflation1 lh Wed Jan  3 00:10:02 UTC 2018
#@# Inflation1 rh Wed Jan  3 00:11:11 UTC 2018
#@# QSphere lh Wed Jan  3 00:12:22 UTC 2018
#@# QSphere rh Wed Jan  3 00:19:13 UTC 2018
#@# Fix Topology Copy lh Wed Jan  3 00:26:45 UTC 2018
#@# Fix Topology Copy rh Wed Jan  3 00:26:45 UTC 2018
#@# Fix Topology lh Wed Jan  3 00:26:45 UTC 2018
#@# Fix Topology rh Wed Jan  3 01:30:10 UTC 2018
#@# Make White Surf lh Wed Jan  3 02:33:36 UTC 2018
#@# Make White Surf rh Wed Jan  3 02:42:06 UTC 2018
#@# Smooth2 lh Wed Jan  3 02:51:02 UTC 2018
#@# Smooth2 rh Wed Jan  3 02:51:12 UTC 2018
#@# Inflation2 lh Wed Jan  3 02:51:22 UTC 2018
#@# Inflation2 rh Wed Jan  3 02:52:24 UTC 2018
#@# Curv .H and .K lh Wed Jan  3 02:53:24 UTC 2018
#@# Curv .H and .K rh Wed Jan  3 02:55:51 UTC 2018
#@# Curvature Stats lh Wed Jan  3 02:58:17 UTC 2018
#@# Curvature Stats rh Wed Jan  3 02:58:23 UTC 2018
#@# Sphere lh Wed Jan  3 02:58:30 UTC 2018
#@# Sphere rh Wed Jan  3 04:13:24 UTC 2018
#@# Surf Reg lh Wed Jan  3 05:24:35 UTC 2018
#@# Surf Reg rh Wed Jan  3 06:58:57 UTC 2018
#@# Jacobian white lh Wed Jan  3 08:36:56 UTC 2018
#@# Jacobian white rh Wed Jan  3 08:37:00 UTC 2018
#@# AvgCurv lh Wed Jan  3 08:37:03 UTC 2018
#@# AvgCurv rh Wed Jan  3 08:37:06 UTC 2018
#@# Cortical Parc lh Wed Jan  3 08:37:08 UTC 2018
#@# Cortical Parc rh Wed Jan  3 08:37:32 UTC 2018
#@# Make Pial Surf lh Wed Jan  3 08:37:53 UTC 2018
#@# Make Pial Surf rh Wed Jan  3 09:01:38 UTC 2018
#@# Surf Volume lh Wed Jan  3 09:24:58 UTC 2018
#@# Surf Volume rh Wed Jan  3 09:25:04 UTC 2018
#@# Cortical ribbon mask Wed Jan  3 09:25:09 UTC 2018
#@# Parcellation Stats lh Wed Jan  3 09:43:47 UTC 2018
#@# Parcellation Stats rh Wed Jan  3 09:45:56 UTC 2018
#@# Cortical Parc 2 lh Wed Jan  3 09:48:10 UTC 2018
#@# Cortical Parc 2 rh Wed Jan  3 09:48:39 UTC 2018
#@# Parcellation Stats 2 lh Wed Jan  3 09:49:10 UTC 2018
#@# Parcellation Stats 2 rh Wed Jan  3 09:50:16 UTC 2018
#@# Cortical Parc 3 lh Wed Jan  3 09:51:21 UTC 2018
#@# Cortical Parc 3 rh Wed Jan  3 09:51:44 UTC 2018
#@# Parcellation Stats 3 lh Wed Jan  3 09:52:06 UTC 2018
#@# Parcellation Stats 3 rh Wed Jan  3 09:53:12 UTC 2018
#@# WM/GM Contrast lh Wed Jan  3 09:54:18 UTC 2018
#@# WM/GM Contrast rh Wed Jan  3 09:54:27 UTC 2018
#@# Relabel Hypointensities Wed Jan  3 09:54:36 UTC 2018
#@# AParc-to-ASeg aparc Wed Jan  3 09:55:11 UTC 2018
#@# AParc-to-ASeg a2009s Wed Jan  3 10:04:37 UTC 2018
#@# AParc-to-ASeg DKTatlas Wed Jan  3 10:14:01 UTC 2018
#@# APas-to-ASeg Wed Jan  3 10:23:18 UTC 2018
#@# ASeg Stats Wed Jan  3 10:23:28 UTC 2018
#@# WMParc Wed Jan  3 10:27:21 UTC 2018
#@# BA_exvivo Labels lh Wed Jan  3 10:43:54 UTC 2018
#@# BA_exvivo Labels rh Wed Jan  3 10:51:52 UTC 2018
recon-all -s 3360 finished without error at Wed Jan  3 10:59:42 UTC 2018
